Name,Type,Minimum,Maximum,Length,Direction,Transferred From
,start,48,48,1,forward,M01342:73:000000000-AAFA1:1:2112:21194:9530 2:N:0:2 (reversed)
,start,88,88,1,forward,M01342:73:000000000-AAFA1:1:1114:13051:20722 2:N:0:2 (reversed)
,start,102,102,1,reverse,M01342:73:000000000-AAFA1:1:2109:15038:24643 1:N:0:2
,start,114,114,1,reverse,M01342:73:000000000-AAFA1:1:2112:13253:8936 2:N:0:2
,start,134,134,1,reverse,M01342:73:000000000-AAFA1:1:2110:13792:17519 2:N:0:2
,start,174,174,1,reverse,M01342:73:000000000-AAFA1:1:1112:22757:25874 1:N:0:2
,start,302,302,1,reverse,M01342:73:000000000-AAFA1:1:2105:8425:17581 1:N:0:2 (reversed)
,start,331,331,1,reverse,"M01342:73:000000000-AAFA1:1:1107:13335:26068 1:N:0:2 (reversed), M01342:73:000000000-AAFA1:1:2104:24445:5400 1:N:0:2 (reversed)"
,start,359,359,1,forward,M01342:73:000000000-AAFA1:1:1109:8319:5534 2:N:0:2 (reversed)
,start,405,405,1,reverse,M01342:73:000000000-AAFA1:1:1108:25991:23527 1:N:0:2
,start,426,426,1,forward,M01342:73:000000000-AAFA1:1:1111:7361:21470 1:N:0:2 (reversed)
,start,445,445,1,forward,M01342:73:000000000-AAFA1:1:2107:24362:24709 2:N:0:2 (reversed)
,start,449,449,1,reverse,M01342:73:000000000-AAFA1:1:1109:4008:18467 1:N:0:2
,start,564,564,1,reverse,M01342:73:000000000-AAFA1:1:1114:17833:21509 2:N:0:2
,start,585,585,1,forward,M01342:73:000000000-AAFA1:1:1113:8818:12559 2:N:0:2 (reversed)
,start,603,603,1,forward,M01342:73:000000000-AAFA1:1:1106:7086:24894 2:N:0:2 (reversed)
,start,621,621,1,reverse,M01342:73:000000000-AAFA1:1:2104:27896:15031 2:N:0:2
,start,642,642,1,forward,M01342:73:000000000-AAFA1:1:1113:15053:3187 1:N:0:2
,start,671,671,1,forward,M01342:73:000000000-AAFA1:1:1101:16553:22856 1:N:0:2
,start,699,699,1,forward,M01342:73:000000000-AAFA1:1:1110:21650:5251 2:N:0:2
,start,704,704,1,forward,M01342:73:000000000-AAFA1:1:1101:9631:4972 1:N:0:2 (reversed)
,start,765,765,1,forward,M01342:73:000000000-AAFA1:1:1106:6849:23976 2:N:0:2
